name,city,country,country_code,iata,icao,x,y,elevation,apid,timezone,dst,tz_id,type,source,ap_uid,ap_name
Springvale Airport,Springvale Homestead,Australia,,KSV,YSPV,140.70216,-23.54516,425,15111,10,U,,,,user,"Springvale Homestead-Springval. (KSV), Australia"
Squamish Airport,Squamish,Canada,,YSE,CYSE,-123.162002563,49.7817001343,171,11722,-8,A,,airport,OurAirports,user,"Squamish Airport (YSE), Canada"
Srednekolymsk Airport,Srednekolymsk,Russia,,SEK,UESK,153.7364,67.4805,60,9091,11,N,Asia/Srednekolymsk,airport,OurAirports,user,"Srednekolymsk Airport (SEK), Russia"
Sri Guru Ram Dass Jee International Airport,Amritsar,India,,ATQ,VIAR,74.7973022461,31.7096004486,756,3081,5.5,N,Asia/Calcutta,airport,OurAirports,,"Amritsar-Sri Guru Ram Dass Jee Int. (ATQ), India"
Sri Jayawardenepura Kotte,Colombo,Sri Lanka,,DWO,,79.91,6.905,50,10120,5.5,N,,unknown,User,user,"Colombo-Sri Jayawardenepura Ko. (DWO), Sri Lanka"
Sri Sathya Sai Airport,Puttaparthi,India,,PUT,VOPN,77.7910995483,14.1492996216,1558,12002,,,,airport,OurAirports,,"Puttaparthi-Sri Sathya Sai Airport (PUT), India"
St Angelo Airport,Enniskillen,United Kingdom,,ENK,EGAB,-7.651669979095459,54.39889907836914,155,466,0,E,Europe/London,airport,OurAirports,,"Enniskillen-St Angelo Air. (ENK), United Kingdom"
St Augustin Airport,St-Augustin,Canada,,YIF,CYIF,-58.6582984924,51.2117004395,20,6789,-4,A,America/Blanc-Sablon,airport,OurAirports,user,"St Augustin Airport (YIF), Canada"
St Catherine International Airport,St. Catherine,Egypt,,SKV,HESC,34.0625,28.685300827,4368,1135,2,U,Africa/Cairo,airport,OurAirports,,"St. Catherine-St Catherine Interna. (SKV), Egypt"
St Clair County International Airport,Port Huron,United States,,PHN,KPHN,-82.52890015,42.9109993,650,3557,-5,A,America/New_York,airport,OurAirports,,"Port Huron-St Clair County. (PHN), United States"
